iter	Passed	Remaining
749	10892	3630
750	10906	3616
751	10921	3601
752	10935	3586
753	10949	3572
754	10962	3557
755	10975	3542
756	10989	3527
757	11003	3513
758	11018	3498
759	11032	3483
760	11046	3469
761	11059	3454
762	11073	3439
763	11086	3424
764	11100	3409
765	11115	3395
766	11128	3380
767	11141	3365
768	11156	3351
769	11171	3336
770	11184	3321
771	11199	3307
772	11212	3292
773	11225	3277
774	11239	3262
775	11252	3248
776	11268	3234
777	11281	3219
778	11295	3204
779	11308	3189
780	11323	3175
781	11337	3160
782	11350	3145
783	11364	3130
784	11377	3116
785	11390	3101
786	11405	3086
787	11418	3072
788	11432	3057
789	11445	3042
790	11459	3027
791	11473	3013
792	11486	2998
793	11500	2983
794	11515	2969
795	11529	2954
796	11543	2940
797	11556	2925
798	11570	2910
799	11585	2896
800	11600	2881
801	11617	2868
802	11634	2854
803	11650	2840
804	11672	2827
805	11690	2813
806	11709	2800
807	11724	2786
808	11740	2771
809	11756	2757
810	11772	2743
811	11788	2729
812	11804	2715
813	11820	2701
814	11837	2687
815	11853	2672
816	11866	2657
817	11880	2643
818	11894	2628
819	11908	2614
820	11921	2599
821	11934	2584
822	11949	2569
823	11962	2555
824	11975	2540
825	11989	2525
826	12003	2510
827	12017	2496
828	12031	2481
829	12045	2467
830	12059	2452
831	12073	2437
832	12087	2423
833	12101	2408
834	12115	2393
835	12128	2379
836	12142	2364
837	12155	2349
838	12169	2335
839	12183	2320
840	12198	2306
841	12211	2291
842	12225	2276
843	12239	2262
844	12253	2247
845	12268	2233
846	12282	2218
847	12297	2204
848	12311	2189
849	12324	2174
850	12338	2160
851	12352	2145
852	12366	2131
853	12380	2116
854	12394	2101
855	12406	2087
856	12420	2072
857	12434	2057
858	12448	2043
859	12462	2028
860	12476	2014
861	12490	1999
862	12504	1985
863	12519	1970
864	12534	1956
865	12547	1941
866	12560	1926
867	12574	1912
868	12588	1897
869	12603	1883
870	12617	1868
871	12631	1854
872	12645	1839
873	12659	1825
874	12673	1810
875	12687	1795
876	12701	1781
877	12715	1766
878	12729	1752
879	12743	1737
880	12757	1723
881	12772	1708
882	12785	1694
883	12799	1679
884	12813	1664
885	12826	1650
886	12841	1635
887	12855	1621
888	12868	1606
889	12882	1592
890	12896	1577
891	12910	1563
892	12924	1548
893	12937	1533
894	12950	1519
895	12964	1504
896	12978	1490
897	12993	1475
898	13007	1461
899	13021	1446
900	13034	1432
901	13049	1417
902	13063	1403
903	13078	1388
904	13093	1374
905	13108	1359
906	13122	1345
907	13136	1330
908	13149	1316
909	13163	1301
910	13176	1287
911	13190	1272
912	13204	1258
913	13220	1243
914	13236	1229
915	13251	1215
916	13264	1200
917	13279	1186
918	13293	1171
919	13307	1157
920	13320	1142
921	13335	1128
922	13348	1113
923	13362	1099
924	13378	1084
925	13392	1070
926	13406	1055
927	13420	1041
928	13433	1026
929	13448	1012
930	13461	997
931	13475	983
932	13489	968
933	13504	954
934	13517	939
935	13533	925
936	13546	910
937	13560	896
938	13576	881
939	13591	867
940	13605	853
941	13619	838
942	13633	824
943	13648	809
944	13662	795
945	13675	780
946	13689	766
947	13704	751
948	13717	737
949	13732	722
950	13746	708
951	13760	693
952	13775	679
953	13791	665
954	13807	650
955	13823	636
956	13837	621
957	13851	607
958	13866	592
959	13880	578
960	13893	563
961	13907	549
962	13921	534
963	13933	520
964	13947	505
965	13961	491
966	13975	476
967	13988	462
968	14002	447
969	14016	433
970	14031	419
971	14045	404
972	14059	390
973	14073	375
974	14087	361
975	14100	346
976	14114	332
977	14127	317
978	14141	303
979	14155	288
980	14168	274
981	14182	259
982	14196	245
983	14211	231
984	14224	216
985	14238	202
986	14252	187
987	14267	173
988	14283	158
989	14299	144
990	14315	130
991	14331	115
992	14346	101
993	14362	86
994	14377	72
995	14393	57
996	14408	43
997	14423	28
998	14439	14
999	14454	0
